Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans,iteration,TotalTargetedCull,TCCWD+
8,1680,1112,1599,2389,1220,1503,9503,0,0,0,0,0,0,0,679,271,92,511,169,36,68,51,2,55,28,0,0,0,0,0,0,1.4,2,42,0,0
9,1660,1123,1646,2426,1188,1502,9545,0,0,0,0,0,0,0,646,289,77,523,178,32,58,61,4,53,30,1,0,0,0,0,0,1.4,2,42,0,0
10,1640,1186,1646,2411,1172,1546,9601,0,0,0,0,0,0,0,688,263,86,486,167,24,71,56,6,50,33,1,0,0,0,0,0,1.4,2,42,0,0
11,1684,1197,1596,2425,1261,1564,9727,0,0,0,0,0,0,0,689,280,85,505,197,32,78,52,4,48,35,3,0,0,0,0,0,1.4,2,42,0,0
12,1691,1155,1625,2398,1247,1591,9707,0,0,0,0,0,0,0,671,289,75,489,193,36,65,54,1,45,44,2,0,0,0,0,0,1.4,2,42,0,0
13,1698,1172,1587,2406,1302,1552,9717,0,0,0,0,0,0,0,685,304,67,500,193,31,75,49,2,56,41,0,0,0,0,0,0,1.4,2,42,0,0
14,1664,1164,1648,2430,1232,1579,9717,0,0,0,0,0,0,0,705,281,82,466,164,28,73,48,8,50,39,1,0,0,0,0,0,1.4,2,42,0,0
15,1627,1174,1693,2437,1270,1601,9802,0,0,0,0,0,0,0,654,294,89,492,186,40,69,58,7,53,37,1,0,0,0,0,0,1.4,2,42,0,0
1,1656,1118,1556,2416,1185,1536,9467,0,1,0,0,0,0,1,632,274,80,486,173,40,53,46,4,48,40,0,0,0,0,0,1,0,0,43,0,0
2,1664,1092,1582,2408,1196,1534,9476,0,0,0,0,0,0,0,632,263,79,479,178,43,56,52,7,43,39,4,0,0,0,0,0,2.8,0,43,0,0
3,1666,1121,1542,2384,1213,1571,9497,0,0,0,0,0,0,0,646,263,68,465,181,40,60,62,2,55,33,1,0,0,0,0,0,2.8,0,43,0,0
4,1701,1095,1528,2418,1232,1505,9479,0,0,0,0,0,0,0,720,288,86,501,164,33,65,46,7,54,36,2,0,0,0,0,0,2.8,0,43,0,0
5,1585,1076,1648,2434,1195,1604,9542,0,0,0,0,0,0,0,620,271,82,497,179,31,62,51,7,47,41,1,0,0,0,0,0,2.8,0,43,0,0
6,1570,1207,1635,2407,1292,1599,9710,0,0,0,0,0,0,0,636,290,87,499,189,33,63,55,5,38,40,1,0,0,0,0,0,2.8,0,43,0,0
7,1642,1184,1623,2455,1281,1634,9819,0,0,0,0,0,0,0,628,294,88,504,192,41,67,50,6,57,38,2,0,0,0,0,0,2.8,0,43,0,0
8,1718,1145,1644,2505,1301,1600,9913,0,0,0,0,0,0,0,705,303,74,477,192,30,62,61,3,55,45,2,0,0,0,0,0,2.8,0,43,0,0
9,1620,1181,1770,2566,1264,1629,10030,0,0,0,0,0,0,0,671,289,83,496,193,27,59,65,7,53,47,2,0,0,0,0,0,2.8,0,43,0,0
10,1639,1283,1692,2548,1309,1629,10100,0,0,0,0,0,0,0,681,322,80,500,212,27,69,71,7,49,39,0,0,0,0,0,0,2.8,0,43,0,0
11,1704,1211,1679,2575,1296,1673,10138,0,0,0,0,0,0,0,677,305,88,492,187,29,67,65,5,57,33,1,0,0,0,0,0,2.8,0,43,0,0
12,1740,1189,1784,2559,1356,1677,10305,0,0,0,0,0,0,0,692,305,78,477,199,36,78,72,3,55,40,0,0,0,0,0,0,2.8,0,43,0,0
13,1743,1307,1754,2626,1332,1701,10463,0,0,0,0,0,0,0,681,363,99,540,200,40,74,69,4,33,38,0,0,0,0,0,0,2.8,0,43,0,0
14,1806,1254,1751,2649,1331,1690,10481,0,0,0,0,0,0,0,716,303,101,545,190,44,80,48,3,44,40,1,0,0,0,0,0,2.8,0,43,0,0
15,1827,1285,1753,2669,1339,1667,10540,0,0,0,0,0,0,0,744,321,93,557,193,28,73,47,6,41,30,0,0,0,0,0,0,2.8,0,43,0,0
1,1645,1109,1586,2389,1210,1545,9484,0,0,1,0,1,0,2,637,267,77,512,183,28,52,54,5,40,36,1,0,0,0,0,1,0,1,44,0,0
2,1639,1150,1559,2385,1223,1490,9446,0,0,3,2,0,0,5,621,319,87,471,193,34,61,72,5,49,27,1,0,0,0,0,1,1,6,44,0,0
3,1650,1103,1592,2425,1187,1481,9438,0,0,0,1,0,0,1,666,291,79,483,181,29,65,58,3,51,30,1,0,0,0,0,1,1,6,44,0,0
4,1618,1136,1595,2412,1198,1523,9482,0,0,0,0,0,0,0,648,268,88,467,158,35,69,52,9,58,25,1,0,0,0,0,0,1,6,44,0,0
5,1644,1113,1671,2426,1233,1509,9596,0,0,0,0,0,0,0,671,277,84,493,191,35,61,52,3,41,36,2,0,0,0,0,0,1,6,44,0,0
6,1581,1210,1616,2398,1192,1624,9621,0,0,0,0,0,0,0,605,308,59,450,185,27,52,57,4,47,38,0,0,0,0,0,0,1,6,44,0,0
7,1655,1148,1608,2393,1264,1538,9606,0,0,0,0,0,0,0,647,268,83,450,193,28,51,49,5,38,44,1,0,0,0,0,0,1,6,44,0,0
8,1706,1154,1657,2447,1211,1572,9747,0,0,0,0,0,0,0,671,276,82,499,186,29,56,62,4,49,37,2,0,0,0,0,0,1,6,44,0,0
9,1723,1177,1624,2383,1249,1547,9703,0,0,0,0,0,0,0,680,329,84,453,184,24,70,76,3,42,25,0,0,0,0,0,0,1,6,44,0,0
10,1695,1138,1661,2487,1249,1530,9760,0,0,0,0,0,0,0,675,272,83,484,183,34,59,50,4,54,42,1,0,0,0,0,0,1,6,44,0,0
11,1665,1190,1611,2477,1204,1625,9772,0,0,0,0,0,0,0,683,295,88,498,180,32,69,74,4,51,38,0,0,0,0,0,0,1,6,44,0,0
12,1681,1165,1629,2444,1316,1572,9807,0,0,0,0,0,0,0,643,311,73,489,198,36,61,66,5,46,44,1,0,0,0,0,0,1,6,44,0,0
13,1692,1182,1685,2516,1245,1644,9964,0,0,0,0,0,0,0,682,330,94,517,192,21,84,66,4,50,46,1,0,0,0,0,0,1,6,44,0,0
14,1676,1236,1704,2485,1333,1659,10093,0,0,0,0,0,0,0,645,322,85,510,219,39,68,72,4,44,51,3,0,0,0,0,0,1,6,44,0,0
15,1717,1234,1673,2502,1287,1589,10002,0,0,0,0,0,0,0,700,290,64,493,204,29,61,51,6,61,46,0,0,0,0,0,0,1,6,44,0,0
1,1642,1119,1581,2381,1162,1544,9429,0,1,0,0,1,0,2,681,273,72,457,162,23,74,39,3,49,17,2,0,0,0,0,2,0,2,45,0,0
2,1611,1128,1657,2381,1256,1495,9528,1,1,2,4,1,0,9,666,272,83,507,188,32,61,69,5,48,39,2,3,1,1,0.004,3,2.8,10,45,0,0
3,1622,1206,1546,2388,1217,1507,9486,4,2,0,3,1,0,10,667,321,83,453,170,32,85,58,3,45,40,2,4,0,1,0,6,4.1,20,45,0,0
4,1641,1104,1604,2444,1210,1516,9519,3,0,2,4,0,1,10,668,285,80,487,170,35,67,59,3,48,36,4,2,0,1,0,5,22.8,31,45,0,0
5,1602,1164,1622,2408,1220,1592,9608,1,2,0,6,1,1,11,655,299,75,500,176,26,72,58,7,44,39,0,2,0,1,0,8,22.8,46,45,0,0
6,1612,1170,1645,2389,1273,1519,9608,10,2,3,18,1,4,38,650,296,76,467,175,35,73,48,2,54,35,1,5,2,1,0.009,12,22.8,81,45,0,0
7,1622,1243,1620,2445,1207,1599,9736,19,4,8,26,6,6,69,632,311,78,454,200,29,65,62,7,49,46,1,12,1,1,0.004,24,22.8,143,45,0,0
8,1707,1142,1590,2405,1248,1560,9652,41,8,10,38,14,17,128,687,291,67,497,166,43,77,55,7,57,32,3,26,2,1,0.009,34,22.8,265,45,0,0
9,1679,1191,1659,2443,1221,1544,9737,80,12,13,66,24,30,225,684,278,87,485,177,28,84,55,4,38,32,1,50,5,1,0.023,59,22.8,476,45,0,0
10,1677,1180,1658,2398,1217,1518,9648,89,19,21,99,24,34,286,683,270,96,476,184,23,83,51,6,52,46,1,76,8,1,0.033,76,22.8,753,45,0,0
11,1684,1182,1557,2370,1199,1457,9449,103,15,44,119,34,33,348,702,303,72,447,182,26,74,63,2,40,35,0,69,7,1,0.033,100,22.8,1075,45,0,0
12,1630,1104,1596,2359,1128,1541,9358,175,41,32,171,55,62,536,663,277,77,447,179,35,68,48,3,52,27,1,131,19,1,0.095,130,22.8,1568,45,0,0
13,1539,1106,1536,2254,1207,1479,9121,246,45,74,230,82,104,781,575,264,83,472,184,35,67,53,4,38,39,1,179,23,1,0.114,165,22.8,2303,45,0,0
14,1572,1079,1536,2189,1135,1354,8865,256,68,109,322,116,111,982,639,263,69,419,173,30,63,61,1,47,41,1,206,26,1,0.121,205,22.8,3269,45,0,0
15,1511,1060,1385,2130,1008,1366,8460,332,99,119,411,137,178,1276,600,249,57,457,145,24,50,41,2,45,28,1,282,31,1,0.186,252,24.7,4470,45,0,0
1,1657,1127,1672,2422,1189,1560,9627,0,1,0,0,0,0,1,670,278,84,470,174,33,67,65,3,45,35,3,0,0,0,0,0,0,0,46,0,0
2,1658,1199,1655,2451,1221,1547,9731,1,0,0,0,0,1,2,652,316,81,497,202,27,63,65,2,56,52,1,0,0,0,0,1,0,2,46,0,0
3,1703,1172,1620,2404,1239,1585,9723,4,1,0,2,1,1,9,724,306,92,486,188,23,92,56,4,54,35,2,3,2,1,0.008,5,1,9,46,0,0
4,1661,1152,1602,2426,1270,1592,9703,4,0,0,6,1,2,13,685,274,80,466,197,32,62,62,2,42,39,1,1,0,1,0,7,3.6,23,46,0,0
5,1664,1141,1579,2492,1256,1527,9659,6,3,3,7,4,5,28,666,273,67,479,171,29,58,60,2,48,30,2,5,0,1,0,12,12,51,46,0,0
6,1687,1172,1632,2545,1214,1654,9904,19,1,5,15,4,7,51,681,301,97,517,184,30,80,50,3,57,40,1,6,0,1,0,17,15.7,101,46,0,0
7,1674,1126,1606,2501,1333,1563,9803,30,7,8,30,14,8,97,710,282,90,492,200,31,77,51,8,60,41,2,22,5,1,0.021,37,20.2,191,46,0,0
8,1599,1124,1646,2568,1231,1708,9876,41,9,16,65,13,33,177,616,264,89,496,159,39,55,64,2,50,25,2,42,4,1,0.02,57,21.2,351,46,0,0
9,1624,1205,1628,2521,1369,1620,9967,63,20,32,90,31,31,267,642,313,79,553,213,45,65,50,5,49,52,2,50,5,1,0.022,79,21.2,605,46,0,0
10,1662,1193,1664,2490,1274,1585,9868,110,37,44,139,41,42,413,680,333,65,485,179,40,67,58,2,55,35,2,96,12,1,0.055,116,22.6,1000,46,0,0
11,1637,1162,1656,2536,1235,1682,9908,172,37,58,182,54,68,571,651,316,72,457,183,32,67,56,4,51,35,1,120,15,1,0.07,148,22.6,1529,46,0,0
12,1584,1152,1751,2468,1318,1597,9870,237,47,93,288,83,118,866,638,284,81,487,206,31,57,51,7,52,40,1,202,14,1,0.067,191,24.8,2354,46,0,0
13,1567,1242,1618,2440,1239,1571,9677,256,102,134,398,127,156,1173,618,293,78,507,170,33,60,51,1,50,38,3,248,26,1,0.128,236,24.8,3488,46,0,0
14,1638,1095,1636,2291,1201,1478,9339,366,114,175,506,161,173,1495,623,261,92,466,180,26,71,54,3,39,40,0,309,28,1,0.135,302,24.8,4946,46,0,0
15,1544,1101,1443,2152,1082,1385,8707,457,156,216,637,188,252,1906,607,266,61,423,155,31,67,50,7,41,33,2,354,53,1,0.265,368,24.8,6823,46,0,0
1,1640,1136,1592,2370,1194,1478,9410,0,0,0,1,0,1,2,629,287,91,445,179,29,55,51,5,36,42,0,0,0,0,0,1,0,2,47,0,0
2,1631,1143,1536,2405,1182,1528,9425,0,0,2,2,0,0,4,679,294,74,475,157,36,71,59,1,54,45,3,0,0,0,0,3,2.2,5,47,0,0
3,1595,1093,1566,2370,1202,1507,9333,0,2,0,4,0,1,7,682,237,83,485,200,27,62,42,3,35,40,2,2,1,1,0.005,5,5.7,12,47,0,0
4,1594,1151,1563,2343,1199,1477,9327,9,0,1,5,1,3,19,642,289,73,443,182,23,61,48,5,46,35,1,5,0,1,0,9,7.8,30,47,0,0
5,1610,1135,1599,2344,1201,1446,9335,11,5,4,9,4,2,35,634,257,75,488,178,27,59,60,2,43,24,2,7,0,1,0,16,8.1,63,47,0,0
6,1670,1157,1585,2366,1179,1463,9420,30,5,7,14,6,6,68,677,285,82,467,166,25,70,49,4,58,40,1,20,1,1,0.005,17,8.1,127,47,0,0
7,1676,1125,1580,2330,1173,1477,9361,44,9,8,25,11,7,104,658,294,84,447,177,24,49,61,4,35,33,2,30,1,1,0.005,35,8.6,216,47,0,0
8,1642,1157,1599,2357,1141,1505,9401,51,10,12,29,6,13,121,666,289,86,466,174,24,65,63,1,51,30,3,27,2,1,0.009,50,13,327,47,0,0
9,1637,1156,1482,2361,1202,1522,9360,69,16,11,60,27,24,207,683,280,60,480,184,41,61,66,4,54,37,3,48,5,1,0.022,59,15.1,512,47,0,0
10,1635,1082,1561,2341,1204,1465,9288,119,16,35,97,29,26,322,654,292,85,472,163,29,75,62,7,33,33,0,76,8,1,0.038,74,15.1,826,47,0,0
11,1574,1092,1560,2328,1189,1518,9261,145,37,39,149,50,53,473,636,261,80,466,174,24,57,57,5,56,35,3,104,8,1,0.038,96,16.3,1261,47,0,0
12,1544,1099,1530,2251,1189,1499,9112,183,58,62,198,67,91,659,665,263,84,430,167,41,72,56,4,42,33,3,139,17,1,0.081,134,22.4,1891,47,0,0
13,1506,1056,1497,2266,1163,1428,8916,260,51,86,262,89,93,841,611,258,62,429,166,18,61,58,1,51,32,1,174,30,1,0.147,173,22.4,2675,47,0,0
14,1440,1047,1422,2227,1111,1434,8681,308,91,109,310,108,120,1046,583,265,73,423,151,25,57,48,3,37,25,1,240,27,1,0.158,211,23.3,3663,47,0,0
15,1378,977,1422,2168,1118,1403,8466,328,79,127,366,125,138,1163,545,237,82,419,170,27,57,50,2,38,34,3,238,25,1,0.136,249,23.3,4758,47,0,0
1,1644,1116,1522,2363,1195,1586,9426,0,0,1,0,1,0,2,658,287,91,476,189,37,71,53,1,47,38,0,0,0,0,0,2,0,1,48,0,0
2,1618,1063,1489,2348,1259,1548,9325,0,1,2,2,2,0,7,615,247,65,457,185,37,63,44,6,47,45,1,0,0,0,0,4,4,7,48,0,0
3,1628,1076,1558,2381,1193,1519,9355,4,2,1,6,2,3,18,673,268,96,503,172,31,69,46,6,48,33,1,0,0,0,0,10,9.4,27,48,0,0
4,1556,1136,1523,2360,1204,1521,9300,15,1,3,10,0,3,32,609,260,71,465,170,31,73,44,3,52,39,5,11,1,1,0.005,10,10,59,48,0,0
5,1599,1099,1612,2368,1203,1485,9366,12,6,1,10,7,3,39,606,282,65,480,168,31,64,56,3,58,34,1,6,0,1,0,14,12,95,48,0,0
6,1601,1201,1551,2367,1212,1584,9516,25,2,5,17,5,11,65,639,301,74,509,141,37,50,67,1,45,27,3,19,1,1,0.005,22,12,159,48,0,0
7,1648,1088,1608,2373,1287,1545,9549,20,3,6,26,14,6,75,686,254,81,493,180,19,63,64,9,51,36,0,18,1,1,0.004,24,13.9,227,48,0,0
8,1592,1170,1627,2401,1238,1553,9581,23,5,8,46,15,14,111,631,307,87,484,194,29,62,55,3,47,42,1,28,0,1,0,34,14.3,337,48,0,0
9,1644,1140,1545,2370,1251,1553,9503,46,10,25,76,24,19,200,694,267,71,456,181,33,63,46,5,45,40,1,33,2,1,0.01,60,14.8,531,48,0,0
10,1638,1140,1607,2389,1239,1554,9567,66,24,21,90,29,40,270,627,292,74,462,164,26,64,49,3,42,28,0,57,5,1,0.027,75,15.3,787,48,0,0
11,1650,1144,1626,2409,1250,1533,9612,84,34,31,116,35,34,334,668,305,65,467,182,28,54,65,0,57,34,2,70,10,1,0.047,107,18.4,1118,48,0,0
12,1592,1147,1499,2403,1207,1571,9419,160,31,45,136,52,67,491,603,270,88,506,158,34,64,34,4,46,38,0,101,12,1,0.065,163,19.2,1590,48,0,0
13,1646,1055,1610,2351,1212,1523,9397,212,42,62,197,79,96,688,661,234,75,475,185,30,67,46,4,51,37,1,146,23,1,0.112,206,19.2,2223,48,0,0
14,1552,1154,1552,2299,1192,1447,9196,293,62,109,323,113,111,1011,604,291,78,453,188,31,65,64,3,47,44,0,212,32,1,0.143,280,19.2,3166,48,0,0
15,1560,1077,1414,2225,1109,1439,8824,392,86,130,434,141,148,1331,647,246,80,440,175,26,76,52,4,44,40,2,280,30,1,0.138,319,19.2,4365,48,0,0
1,1648,1142,1591,2365,1193,1543,9482,0,1,0,0,0,0,1,655,298,74,477,184,33,68,57,4,46,34,3,0,0,0,0,0,0,0,49,0,0
2,1656,1156,1534,2372,1236,1518,9472,2,0,0,0,0,0,2,645,279,62,467,165,30,65,55,5,49,33,1,1,0,0,0,1,1,2,49,0,0
3,1686,1083,1598,2400,1212,1584,9563,7,0,0,1,0,1,9,679,253,71,475,171,35,51,51,3,35,38,4,3,0,0,0,3,1,11,49,0,0
4,1653,1146,1599,2416,1285,1523,9622,8,0,0,2,2,1,13,646,289,87,484,184,34,54,53,5,38,39,1,4,0,0,0,6,1.4,20,49,0,0
5,1662,1144,1618,2476,1211,1593,9704,11,2,1,4,3,1,22,663,272,86,540,199,29,82,48,9,52,45,0,6,1,1,0.004,7,2.8,42,49,0,0
6,1645,1143,1586,2450,1262,1604,9690,18,1,3,13,8,0,43,640,298,83,483,195,26,53,63,7,36,39,4,6,1,1,0.005,10,12.1,82,49,0,0
7,1641,1119,1652,2445,1302,1503,9662,21,2,7,22,4,8,64,678,270,84,501,183,29,63,61,3,39,37,1,16,1,1,0.005,16,12.2,139,49,0,0
8,1632,1174,1650,2495,1204,1597,9752,39,5,3,24,7,12,90,642,308,82,500,168,36,66,70,7,55,37,0,21,4,1,0.017,26,14,227,49,0,0
9,1650,1190,1644,2444,1289,1537,9754,54,11,10,40,14,13,142,640,322,85,497,201,32,59,51,4,62,37,0,31,3,1,0.014,31,20.2,355,49,0,0
10,1648,1194,1617,2464,1225,1669,9817,81,14,15,68,21,25,224,649,324,73,533,172,35,69,66,3,61,43,2,60,13,1,0.053,46,20.2,559,49,0,0
11,1650,1166,1510,2376,1335,1537,9574,80,28,28,95,35,43,309,690,276,71,481,211,29,71,56,3,41,34,0,67,4,1,0.02,66,20.2,853,49,0,0
12,1624,1088,1613,2420,1215,1525,9485,120,37,51,151,50,48,457,658,287,84,516,153,33,69,61,5,52,31,1,114,14,1,0.064,86,20.2,1284,49,0,0
13,1542,1148,1663,2372,1193,1504,9422,175,45,77,194,70,91,652,631,291,86,451,178,37,69,59,2,57,35,2,136,12,1,0.054,115,26.2,1928,49,0,0
14,1519,1153,1536,2326,1167,1477,9178,195,65,88,229,90,90,757,624,274,85,476,171,33,70,72,1,36,38,2,164,13,1,0.059,152,26.2,2651,49,0,0
15,1539,1098,1481,2221,1143,1444,8926,291,86,92,273,106,108,956,604,270,73,449,177,26,55,66,2,44,41,0,183,19,1,0.091,200,26.2,3595,49,0,0
1,1654,1188,1548,2380,1186,1555,9511,0,1,0,0,0,0,1,692,310,81,505,179,29,78,61,5,69,29,2,1,0,0,0,0,0,0,50,0,0
2,1657,1112,1542,2373,1240,1522,9446,0,0,0,0,0,0,0,684,264,72,463,178,40,56,51,4,56,35,1,0,0,0,0,0,2.2,0,50,0,0
3,1635,1122,1611,2409,1210,1580,9567,0,0,0,0,0,0,0,610,292,70,506,173,33,69,53,4,44,31,0,0,0,0,0,0,2.2,0,50,0,0
4,1651,1176,1590,2393,1230,1562,9602,0,0,0,0,0,0,0,679,290,71,447,167,29,74,65,4,42,32,0,0,0,0,0,0,2.2,0,50,0,0
5,1638,1131,1722,2439,1239,1518,9687,0,0,0,0,0,0,0,673,278,78,511,194,35,71,60,3,48,46,0,0,0,0,0,0,2.2,0,50,0,0
6,1628,1263,1622,2478,1229,1588,9808,0,0,0,0,0,0,0,671,287,67,515,178,25,76,63,4,51,37,2,0,0,0,0,0,2.2,0,50,0,0
7,1716,1153,1696,2490,1290,1625,9970,0,0,0,0,0,0,0,694,276,71,503,189,31,68,47,2,49,32,0,0,0,0,0,0,2.2,0,50,0,0
8,1695,1235,1608,2497,1319,1640,9994,0,0,0,0,0,0,0,692,337,85,463,202,31,63,67,2,53,43,2,0,0,0,0,0,2.2,0,50,0,0
9,1707,1146,1669,2556,1309,1638,10025,0,0,0,0,0,0,0,646,260,86,497,191,32,69,46,4,48,40,1,0,0,0,0,0,2.2,0,50,0,0
10,1727,1183,1689,2609,1305,1644,10157,0,0,0,0,0,0,0,685,312,83,564,174,28,68,56,2,50,37,2,0,0,0,0,0,2.2,0,50,0,0
11,1699,1178,1712,2591,1308,1667,10155,0,0,0,0,0,0,0,692,283,81,543,217,39,61,44,5,61,47,1,0,0,0,0,0,2.2,0,50,0,0
12,1693,1222,1730,2594,1359,1658,10256,0,0,0,0,0,0,0,687,317,97,533,211,30,73,61,1,63,37,4,0,0,0,0,0,2.2,0,50,0,0
13,1688,1246,1760,2617,1321,1762,10394,0,0,0,0,0,0,0,663,320,82,491,207,37,65,60,3,49,42,1,0,0,0,0,0,2.2,0,50,0,0
14,1747,1289,1760,2661,1406,1675,10538,0,0,0,0,0,0,0,726,332,72,544,220,41,83,66,8,62,51,1,0,0,0,0,0,2.2,0,50,0,0
15,1752,1273,1867,2704,1336,1715,10647,0,0,0,0,0,0,0,698,309,106,535,187,38,83,48,9,48,41,0,0,0,0,0,0,2.2,0,50,0,0
1,1651,1138,1552,2401,1236,1520,9498,0,0,0,0,0,0,0,643,279,82,476,198,34,62,48,6,52,45,3,0,0,0,0,0,0,0,51,0,0
2,1643,1103,1641,2411,1209,1497,9504,0,0,0,0,0,0,0,660,279,70,474,209,33,49,49,4,54,38,4,0,0,0,0,0,0,0,51,0,0
3,1624,1210,1621,2385,1197,1508,9545,0,0,0,0,0,0,0,649,287,80,497,194,29,54,52,7,57,34,2,0,0,0,0,0,0,0,51,0,0
4,1708,1165,1617,2369,1198,1434,9491,0,0,0,0,0,0,0,690,296,75,447,204,25,72,67,1,42,39,0,0,0,0,0,0,0,0,51,0,0
5,1688,1175,1588,2379,1159,1516,9505,0,0,0,0,0,0,0,676,295,83,486,175,23,59,58,1,54,40,1,0,0,0,0,0,0,0,51,0,0
6,1688,1152,1572,2333,1229,1482,9456,0,0,0,0,0,0,0,715,298,81,502,183,27,78,65,5,51,39,1,0,0,0,0,0,0,0,51,0,0
7,1637,1124,1536,2329,1164,1443,9233,0,0,0,0,0,0,0,671,269,72,453,157,31,59,61,3,53,28,2,0,0,0,0,0,0,0,51,0,0
8,1614,1122,1597,2352,1164,1494,9343,0,0,0,0,0,0,0,663,310,77,478,149,36,62,63,3,55,30,0,0,0,0,0,0,0,0,51,0,0
9,1569,1139,1543,2337,1167,1532,9287,0,0,0,0,0,0,0,595,296,76,475,174,31,50,44,2,51,36,1,0,0,0,0,0,0,0,51,0,0
10,1624,1102,1509,2326,1243,1517,9321,0,0,0,0,0,0,0,660,284,69,432,181,28,73,60,3,45,33,1,0,0,0,0,0,0,0,51,0,0
11,1599,1102,1622,2432,1223,1528,9506,0,0,0,0,0,0,0,638,255,83,480,170,22,65,45,6,57,33,1,0,0,0,0,0,0,0,51,0,0
12,1614,1157,1662,2468,1205,1569,9675,0,0,0,0,0,0,0,664,287,92,488,208,23,68,52,4,49,39,1,0,0,0,0,0,0,0,51,0,0
13,1632,1184,1645,2463,1261,1543,9728,0,0,0,0,0,0,0,672,289,71,498,180,21,63,65,4,45,25,1,0,0,0,0,0,0,0,51,0,0
14,1660,1194,1611,2433,1249,1633,9780,0,0,0,0,0,0,0,697,281,88,461,198,37,55,53,3,56,43,1,0,0,0,0,0,0,0,51,0,0
15,1684,1186,1765,2483,1298,1587,10003,0,0,0,0,0,0,0,639,325,91,508,200,33,63,50,3,41,50,2,0,0,0,0,0,0,0,51,0,0
1,1654,1110,1553,2395,1191,1519,9422,1,0,0,1,1,0,3,682,297,81,458,175,25,69,46,5,43,39,3,1,0,0,0,2,0,3,52,0,0
2,1599,1101,1531,2405,1210,1601,9447,1,0,0,3,0,4,8,643,267,69,499,184,39,59,57,4,49,37,2,2,0,0,0,2,2,9,52,0,0
3,1610,1098,1573,2384,1277,1579,9521,0,3,0,7,2,1,13,657,254,68,476,202,33,58,55,3,39,37,3,2,1,1,0.005,6,3.2,23,52,0,0
4,1606,1149,1633,2423,1245,1505,9561,9,2,3,9,5,5,33,635,311,72,477,177,30,55,59,6,61,24,0,3,0,1,0,14,15.3,50,52,0,0
5,1623,1189,1589,2433,1224,1546,9604,18,3,5,20,7,8,61,661,294,92,494,191,25,64,50,5,46,36,1,10,0,1,0,29,15.3,110,52,0,0
6,1640,1125,1559,2402,1228,1574,9528,26,5,11,35,9,16,102,659,276,87,486,187,21,76,65,6,46,46,0,17,2,1,0.008,39,16,205,52,0,0
7,1623,1101,1650,2424,1268,1558,9624,54,11,18,55,15,20,173,664,278,91,463,185,25,57,48,11,47,40,3,34,2,1,0.01,56,19,378,52,0,0
8,1562,1188,1602,2477,1257,1584,9670,70,20,25,84,23,33,255,640,296,83,496,182,29,57,48,4,54,31,2,57,5,1,0.026,75,19.2,621,52,0,0
9,1604,1164,1707,2447,1236,1521,9679,115,33,40,128,50,46,412,634,279,78,519,180,26,61,51,4,51,27,0,91,4,1,0.021,126,19.7,1012,52,0,0
10,1614,1236,1533,2398,1205,1504,9490,178,51,51,185,70,70,605,598,307,64,476,168,24,67,54,3,46,27,0,122,15,1,0.076,187,20.2,1591,52,0,0
11,1697,1116,1527,2343,1164,1548,9395,281,62,80,300,98,136,957,698,280,80,441,163,31,63,62,6,47,36,2,219,26,1,0.12,242,20.2,2482,52,0,0
12,1569,1071,1465,2264,1191,1459,9019,329,86,107,384,133,162,1201,656,261,84,440,174,26,55,50,3,39,27,3,254,25,1,0.141,279,20.2,3621,52,0,0
13,1434,987,1385,2203,1117,1425,8551,389,106,136,516,171,203,1521,580,254,70,417,173,30,48,47,1,42,26,1,314,37,1,0.224,332,20.2,5095,52,0,0
14,1324,959,1307,2022,1061,1301,7974,503,129,186,605,220,242,1885,545,227,70,409,172,33,40,45,4,50,31,1,407,38,1,0.222,363,20.2,6960,52,0,0
15,1201,871,1268,1835,945,1191,7311,546,148,257,752,249,307,2259,482,216,62,379,163,27,52,34,3,35,29,2,469,49,1,0.316,379,20.2,9156,52,0,0
1,1635,1107,1553,2346,1215,1539,9395,0,0,0,1,0,0,1,615,258,78,435,175,28,63,62,2,36,33,0,0,0,0,0,1,0,2,53,0,0
2,1681,1142,1594,2376,1205,1516,9514,0,0,0,1,0,0,1,663,312,80,445,170,34,72,65,2,33,36,2,0,0,0,0,1,1,2,53,0,0
3,1652,1128,1625,2403,1221,1539,9568,0,1,0,2,1,0,4,632,266,75,508,184,40,74,43,4,52,40,3,0,0,0,0,3,7.2,7,53,0,0
4,1658,1175,1568,2414,1214,1562,9591,1,0,0,3,0,1,5,631,315,93,480,189,37,64,66,4,49,48,3,0,0,0,0,3,8.1,14,53,0,0
5,1689,1118,1577,2435,1244,1570,9633,1,1,1,4,2,1,10,689,275,89,494,195,32,63,50,5,52,29,2,2,0,0,0,4,16.6,23,53,0,0
